13786,"",0,Sony-Ericsson Xperia Play (AT&T),Sony-Ericsson Xperia Play (AT&T),"",1,"Condition:Broken,Good,Flawless",6|6|6
13799,"",0,LG Escape P870,LG Escape P870,"",1,"Condition:Broken,Good,Flawless",0|16|20
13807,"",0,LG Intuition VS950,LG Intuition VS950,"",1,"Condition:Broken,Good,Flawless",8|12|14
13822,"",0,LG G2X,LG G2X,"",1,"Condition:Broken,Good,Flawless",2|16|16
13821,"",0,LG Spectrum 2 LG-VS930,LG Spectrum 2 LG-VS930,"",1,"Condition:Broken,Good,Flawless",2|22|26
13833,"",0,Nintendo Wii U 8GB Basic Set,Nintendo Wii U 8GB Basic Set,"",1,"Condition:Broken,Good,Flawless",12|54|54
13834,"",0,Nintendo Wii U 32GB Deluxe Set,Nintendo Wii U 32GB Deluxe Set,"",1,"Condition:Broken,Good,Flawless",12|54|54
13837,"",0,Nintendo Gameboy Advance Micro,Nintendo Gameboy Advance Micro,"",1,"Condition:Broken,Good,Flawless",0|2|2
13840,"",0,Nintendo Gameboy Color,Nintendo Gameboy Color,"",1,"Condition:Broken,Good,Flawless",0|4|4
13841,"",0,Nintendo 3DS XL,Nintendo 3DS XL,"",1,"Condition:Broken,Good,Flawless",16|42|44
13847,"",0,LG Optimus G E970 ,LG Optimus G E970 ,"",1,"Condition:Broken,Good,Flawless",4|50|58
13849,"",0,LG Nexus 4 E960,LG Nexus 4 E960,"",1,"Condition:Broken,Good,Flawless",14|66|76
13852,"",0,LG Optimus L9,LG Optimus L9,"",1,"Condition:Broken,Good,Flawless",0|22|26
13850,"",0,LG Optimus G LS970,LG Optimus G LS970,"",1,"Condition:Broken,Good,Flawless",0|20|30
13854,"",0,Pantech Flex,Pantech Flex,"",1,"Condition:Broken,Good,Flawless",0|14|14
13871,"",0,LG Optimus 4X HD P880,LG Optimus 4X HD P880,"",1,"Condition:Broken,Good,Flawless",0|6|8
13872,"",0,LG Optimus 3D Max P720,LG Optimus 3D Max P720,"",1,"Condition:Broken,Good,Flawless",0|4|4
13870,"",0,LG Optimus L9 P760,LG Optimus L9 P760,"",1,"Condition:Broken,Good,Flawless",0|14|18
13931,"",0,Microsoft Surface RT 64GB,Microsoft Surface RT 64GB,"",1,"Condition:Broken,Good,Flawless",8|52|60
13932,"",0,Microsoft Surface Pro 64GB,Microsoft Surface Pro 64GB,"",1,"Condition:Broken,Good,Flawless",8|78|78
13930,"",0,Microsoft Surface RT 32GB,Microsoft Surface RT 32GB,"",1,"Condition:Broken,Good,Flawless",8|64|64
13933,"",0,Microsoft Surface Pro 128GB,Microsoft Surface Pro 128GB,"",1,"Condition:Broken,Good,Flawless",8|98|98
13937,"",0,Google Nexus 7  8 GB  WiFi,Google Nexus 7  8 GB  WiFi,"",1,"Condition:Broken,Good,Flawless",0|20|28
13938,"",0,Google Nexus 7 16 GB WiFi,Google Nexus 7 16 GB WiFi,"",1,"Condition:Broken,Good,Flawless",0|20|28
13939,"",0,Google Nexus 7 32 GB - WiFi,Google Nexus 7 32 GB - WiFi,"",1,"Condition:Broken,Good,Flawless",0|20|28
13940,"",0,Google Nexus 7 32 GB WiFi +  4G  (AT&T),Google Nexus 7 32 GB WiFi +  4G  (AT&T),"",1,"Condition:Broken,Good,Flawless",0|20|28
13991,"",0,LG Lucid2 VS870,LG Lucid2 VS870,"",1,"Condition:Broken,Good,Flawless",0|12|14
13992,"",0,LG Nexus 4 (T-Mobile),LG Nexus 4 (T-Mobile),"",1,"Condition:Broken,Good,Flawless",14|60|68
13998,"",0,LG Spirit 4G MS870,LG Spirit 4G MS870,"",1,"Condition:Broken,Good,Flawless",0|6|8
