id,SKU,price,name,description,available_on,shipping_category_id,option_types,variant_price
13769,"",0,Samsung Galaxy S III SGH-I747 (AT&T),"","",1,"Condition:Broken,Good,Flawless",18|92|92
13770,"",0,Samsung Galaxy S III SGH-T999 (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",22|86|84
13771,"",0,Samsung Galaxy S III SPH-L710  (Sprint),"","",1,"Condition:Broken,Good,Flawless",12|50|52
13792,"",0,Apple iPhone 5 64GB (AT&T),"","",1,"Condition:Broken,Good,Flawless",74|168|168
13790,"",0,Apple iPhone 5 16GB (AT&T),"","",1,"Condition:Broken,Good,Flawless",96|158|168
13793,"",0,Apple iPhone 5 16GB (Verizon),"","",1,"Condition:Broken,Good,Flawless",92|226|180
13791,"",0,Apple iPhone 5 32GB (AT&T),"","",1,"Condition:Broken,Good,Flawless",84|164|164
13794,"",0,Apple iPhone 5 32GB (Verizon),"","",1,"Condition:Broken,Good,Flawless",88|192|202
13797,"",0,Apple iPhone 5 32GB (Sprint),"","",1,"Condition:Broken,Good,Flawless",40|134|134
13795,"",0,Apple iPhone 5 64GB (Verizon),"","",1,"Condition:Broken,Good,Flawless",74|192|202
13798,"",0,Apple iPhone 5 64GB (Sprint),"","",1,"Condition:Broken,Good,Flawless",54|124|124
13796,"",0,Apple iPhone 5 16GB (Sprint),"","",1,"Condition:Broken,Good,Flawless",54|120|120
13803,"",0,Samsung Galaxy S III GT-i9300,"","",1,"Condition:Broken,Good,Flawless",16|70|80
13823,"",0,Motorola Droid RAZR MAXX HD,"","",1,"Condition:Broken,Good,Flawless",10|76|82
13824,"",0,Samsung Galaxy Note II SGH-i317,"","",1,"Condition:Broken,Good,Flawless",24|112|124
13825,"",0,Samsung Galaxy Note II SCH-i605,"","",1,"Condition:Broken,Good,Flawless",22|98|126
13826,"",0,Samsung Galaxy Note II SGH-T889,"","",1,"Condition:Broken,Good,Flawless",24|130|138
13859,"",0,Samsung Galaxy Note II SPH-L900 (Sprint),"","",1,"Condition:Broken,Good,Flawless",22|70|76
13862,"",0,Apple iPod Touch 5th Generation 64GB ,"","",1,"Condition:Broken,Good,Flawless",28|96|96
13860,"",0,Apple iPod Touch 5th Generation 32GB ,"","",1,"Condition:Broken,Good,Flawless",30|60|62
13867,"",0,HTC Droid DNA,"","",1,"Condition:Broken,Good,Flawless",24|72|82
13885,"",0,Samsung Galaxy Note SGH-T879,"","",1,"Condition:Broken,Good,Flawless",4|56|62
13896,"",0,Apple iPad 4th Generation 32GB WiFi + 4G (AT&T),"","",1,"Condition:Broken,Good,Flawless",34|170|170
13897,"",0,Apple iPad 4th Generation 64GB WiFi + 4G (AT&T),"","",1,"Condition:Broken,Good,Flawless",36|190|190
13895,"",0,Apple iPad 4th Generation 16GB WiFi + 4G (AT&T),"","",1,"Condition:Broken,Good,Flawless",38|150|150
13898,"",0,Apple iPad 4th Generation 128GB WiFi + 4G (AT&T),"","",1,"Condition:Broken,Good,Flawless",40|212|212
13901,"",0,Apple iPad 4th Generation 64GB WiFi + 4G (Sprint),"","",1,"Condition:Broken,Good,Flawless",36|180|180
13899,"",0,Apple iPad 4th Generation 16GB WiFi + 4G (Sprint),"","",1,"Condition:Broken,Good,Flawless",36|120|120
13902,"",0,Apple iPad 4th Generation 128GB WiFi + 4G (Sprint),"","",1,"Condition:Broken,Good,Flawless",38|130|130
13900,"",0,Apple iPad 4th Generation 32GB WiFi + 4G (Sprint),"","",1,"Condition:Broken,Good,Flawless",36|122|122
13903,"",0,Apple iPad 4th Generation 16GB WiFi + 4G (Verizon),"","",1,"Condition:Broken,Good,Flawless",36|160|160
13906,"",0,Apple iPad 4th Generation 128GB WiFi + 4G (Verizon),"","",1,"Condition:Broken,Good,Flawless",38|146|146
13904,"",0,Apple iPad 4th Generation 32GB WiFi + 4G (Verizon),"","",1,"Condition:Broken,Good,Flawless",36|170|170
13907,"",0,Apple iPad 4th Generation 16GB WiFi ,"","",1,"Condition:Broken,Good,Flawless",34|152|152
13905,"",0,Apple iPad 4th Generation 64GB WiFi + 4G (Verizon),"","",1,"Condition:Broken,Good,Flawless",42|144|144
