84,Apple iPhone 3GS 16GB,$0.90,$2.43,$2.34
85,Apple iPhone 3GS 32GB,$0.90,$2.70,$2.70
289,BlackBerry Bold 9000,$0.80,$1.60,$1.60
320,Casio gzOne Rock c731,[],$3.20,$4
323,Dell Streak 5,$0.80,$2.40,$2.40
321,Casio gzOne Brigade C741,[],$3.20,$14.40
545,HTC Advantage X7510,[],$6.40,$1.60
591,HTC Nexus One N1,[],$4.74,$5.16
589,HTC HD2 T8585,$7.20,$14.40,$14.40
601,HTC HD2 T9193,$3.20,$6.30,$6.30
601,HTC HD2 T9193,$3.20,$6.30,$6.30
604,HTC HD Mini T5555,[],$4,$4
606,HTC Droid Incredible,[],$4,$4
1165,LG  Pop GD510,[],$1.60,$1.60
2194,Nokia X6,[],$1.60,$1.60
2194,Nokia X6,[],$1.60,$1.60
4677,Apple iPhone 4 16GB (AT&T),$36.90,$72.90,$4
4682,BlackBerry Torch 9800,$4.80,$8.40,$8.40
4682,BlackBerry Torch 9800,$4.80,$8.40,$8.40
4685,HTC Aria A6366,[],$5.67,$6.96
4683,BlackBerry Curve 3g 9300,$2.70,$9,$9
4710,LG dLite GD570,[],$8,$8
4763,Samsung Vibrant SGH-T959,$2.40,$16.80,$3.20
4764,Samsung Intensity II SCH-u460,[],$3.12,$4.10
4763,Samsung Vibrant SGH-T959,$2.40,$16.80,$18.40
4769,Samsung Galaxy S GT-i9000,$4,$24.80,$28.80
4846,Motorola Defy MB525,[],$3.20,$3.20
4868,Apple iPod Classic 4th Generation 20GB,$0.80,$9.60,$9.60
4871,Apple iPod Nano 1st Generation 4GB,$48,$48,$48
4869,Apple iPod Classic 3rd Generation 20GB,$0.80,$4,$4
4873,Apple iPod Classic 3rd Generation 15GB,$0.80,$4.80,$4.80
4874,Apple iPod Nano 1st Generation 2GB,$48,$48,$48
4878,Apple iPod Classic 4th Generation 40GB,$0.80,$9.60,$9.60
4879,Apple iPod Classic 3rd Generation 40GB,$1.60,$4,$4
4882,Apple iPod Classic 5th Generation 30GB,$0.80,$16,$16
4880,Apple iPod Nano 2nd Generation 8GB,[],$8,$8
4883,Apple iPod Classic 5th Generation 60GB,$1.60,$16.80,$16.80
4881,Apple iPod Classic 5th Generation 80GB,$2.40,$20.80,$20.80
4888,Apple iPod Touch 1st Generation 8GB,$0.80,$4,$4
4886,Microsoft Zune 30GB,$1.60,$14.40,$14.40
4889,Apple iPod Touch 1st Generation 16GB,$1.60,$4,$4
4892,Apple iPod Touch 1st Generation 32GB,$1.60,$5.60,$5.60
4890,Apple iPod Nano 3rd Generation 4GB,$1.60,$8,$8
4893,Apple iPod Nano 2nd Generation 4GB,[],$7.20,$7.20
4891,Apple iPod Nano 3rd Generation 8GB,$1.60,$11.20,$11.20
4894,Apple iPod Classic 3rd Generation 10GB,$0.80,$4.80,$4.80
4897,Microsoft Zune 80GB 2nd Generation,$2.40,$14.40,$14.40
4895,Apple iPod Classic 6th Generation 160GB,$6.40,$44,$44
4896,Apple iPod Classic 6th Generation 80GB,$6.40,$44,$44
4902,Apple iPod Classic 6th Generation 120GB,$6.40,$47.20,$47.20
4902,Apple iPod Classic 6th Generation 120GB,$6.40,$47.20,$47.20
4905,Apple iPod Nano 4th Generation 16GB,$3.20,$15.20,$15.20
4908,Apple iPod Touch 2nd Generation 32GB,$5.60,$20.80,$20.80
4906,Apple iPod Touch 2nd Generation 8GB,$1.60,$10.50,$10.50
4909,Microsoft Zune 2nd GEN 120GB,$3.20,$9.60,$9.60
4907,Apple iPod Touch 2nd Generation 16GB,$3.20,$16,$16
4910,Apple iPod Nano 5th Generation 8GB,$4,$17.60,$17.60
4913,Apple iPod Touch 3rd Generation 32GB,$6.40,$24,$24
4911,Apple iPod Nano 5th Generation 16GB,$3.75,$22.50,$22.50
4914,Microsoft Zune HD 16GB,$0.80,$16,$16
4912,Apple iPod Touch 3rd Generation 8GB,$3.20,$20.80,$20.80
4920,Apple iPod Nano 1st Generation 1GB,$48,$48,$48
4944,Apple iPod Classic 3rd Generation 30GB,$0.80,$6.40,$6.40
4962,Apple iPod Touch 3rd Generation 64GB,$8.80,$36,$36
4963,Microsoft Zune HD 32GB,$0.80,$24,$24
4998,Microsoft Zune 2nd GEN 16GB ,$0.80,$9.60,$9.60
6930,Microsoft Zune HD 64GB,$10.40,$36.80,$36.80
6930,Microsoft Zune HD 64GB,$10.40,$36.80,$36.80
6956,Apple iPod Shuffle 4th Generation 2GB,[],$5.60,$5.60
6959,Apple iPod Touch 4th Generation 8GB,$6.30,$40.50,$38
6957,Apple iPod Nano 6th Generation 8GB,$4,$22.50,$22.50
6960,Apple iPod Touch 4th Generation 32GB,$9.02,$50.70,$50.70
6958,Apple iPod Nano 6th Generation 16GB,$6.40,$36,$36
6961,Apple iPod Touch 4th Generation 64GB,$8.80,$68,$68
7080,BlackBerry Bold 9780 (T-Mobile),$3.20,$10.50,$10.50
